block,trial_number,valid_trial,staircase_trial,motion_direction,quadrant,eccentricity,jitter_dva,flash_dva,flash_seconds,response,probe_offset_dva,staircase_identity,step_size_dva,staircase_direction,staircase_reversals
1,NA,invalid,0,petal,upper_left,outer,1,12,1,outer,0,upper_petal,1.5,NaN,0
1,1,valid,0,fugal,upper_left,outer,1,12,1,outer,0,upper_fugal,1.5,NaN,0
1,2,valid,0,petal,lower_left,outer,1,12,1,outer,0,lower_petal,1.5,NaN,0
1,3,valid,C,uniform_control,lower_right,outer,0,11,1,outer,5,catch_trial,1.5,NaN,0
1,4,valid,0,fugal,lower_right,inner,1,8,1,outer,0,lower_fugal,1.5,NaN,0
1,5,valid,0,uniform_control,upper_right,inner,0,7,1.25,outer,0,upper_control,1.5,NaN,0
1,6,valid,1,fugal,upper_right,outer,0,11,1.25,inner,-1.5,upper_fugal,1.5,-1,0
1,7,valid,C,uniform_control,upper_left,inner,0,7,1,outer,5,catch_trial,1.5,-1,0
1,8,valid,1,petal,lower_right,outer,0,11,0.75,outer,-1.5,lower_petal,1.5,-1,0
1,9,valid,0,uniform_control,lower_left,outer,0,11,1,outer,0,lower_control,1.5,NaN,0
1,10,valid,1,fugal,lower_left,outer,-1,10,1.25,inner,-1.5,lower_fugal,1.5,-1,0
1,11,valid,1,uniform_control,upper_left,inner,0,7,1.25,inner,-1.5,upper_control,1.5,-1,0
1,12,valid,2,fugal,lower_left,inner,0,7,0.75,inner,0,lower_fugal,1.5,1,1
1,NA,invalid,2,fugal,upper_right,inner,-1,6,1.25,inner,0,upper_fugal,1.5,1,1
1,13,valid,C,petal,lower_left,inner,0,7,1,outer,5,catch_trial,1.5,-1,0
1,NA,invalid,0,petal,upper_left,inner,0,7,1,inner,0,upper_petal,1.5,NaN,0
1,14,valid,2,uniform_control,upper_right,outer,-1,10,1,outer,0,upper_control,1.5,1,1
1,15,valid,1,uniform_control,lower_right,inner,1,8,0.75,inner,-1.5,lower_control,1.5,-1,0
1,16,valid,3,fugal,lower_right,outer,1,12,0.75,outer,1.5,lower_fugal,1.5,1,1
1,17,valid,2,uniform_control,lower_right,outer,1,12,1,outer,0,lower_control,1.5,1,1
1,18,valid,C,fugal,lower_left,inner,0,7,1,inner,-5,catch_trial,1.5,-1,2
1,19,valid,3,uniform_control,upper_left,outer,0,11,1.25,inner,-1.5,upper_control,1.5,-1,2
1,20,valid,C,petal,upper_right,outer,0,11,1,inner,-5,catch_trial,1.5,NaN,0
1,21,valid,C,fugal,upper_right,outer,0,11,1,inner,-5,catch_trial,1.5,1,1
1,22,valid,3,uniform_control,lower_left,inner,1,8,1.25,inner,-1.5,lower_control,1.5,-1,2
1,23,valid,2,petal,lower_right,inner,-1,6,1.25,inner,-3,lower_petal,1.5,-1,0
1,NA,invalid,0,petal,upper_right,inner,0,7,1.25,inner,0,upper_petal,1.5,NaN,0
1,24,valid,2,fugal,upper_left,inner,0,7,1,outer,0,upper_fugal,1.5,1,1
1,25,valid,3,petal,lower_left,inner,0,7,0.75,inner,-1.5,lower_petal,1.5,1,1
1,26,valid,0,petal,upper_right,outer,0,11,0.75,outer,0,upper_petal,1.5,NaN,0
1,27,valid,1,petal,upper_left,outer,1,12,1,outer,-1.5,upper_petal,1.5,-1,0
1,28,valid,3,fugal,upper_right,inner,-1,6,1.25,inner,-1.5,upper_fugal,1.5,-1,2
1,29,valid,2,petal,upper_left,inner,0,7,1,inner,-3,upper_petal,1.5,-1,0
1,30,valid,3,petal,upper_right,inner,0,7,1.25,outer,-1.5,upper_petal,1.5,1,1
2,31,valid,4,petal,upper_right,outer,-1,10,1,inner,-3,upper_petal,1.5,-1,2
2,32,valid,4,uniform_control,upper_right,outer,1,12,1,outer,0,upper_control,1.5,1,3
2,NA,invalid,5,uniform_control,upper_left,inner,1,8,0.75,inner,-1,upper_control,1,-1,4
2,33,valid,C,fugal,upper_left,outer,0,11,1,outer,5,catch_trial,1.5,1,3
2,34,valid,5,petal,upper_left,outer,0,11,1.25,inner,-1.5,upper_petal,1.5,1,3
2,35,valid,C,fugal,lower_right,inner,0,7,1,inner,-5,catch_trial,1.5,-1,2
2,36,valid,4,petal,lower_right,inner,-1,6,0.75,outer,0,lower_petal,1.5,1,1
2,NA,invalid,4,fugal,upper_right,outer,-1,10,1,inner,0,upper_fugal,1.5,1,3
2,37,valid,4,fugal,upper_left,outer,0,11,1,outer,0,upper_fugal,1.5,1,3
2,38,valid,C,petal,upper_left,outer,0,11,1,outer,-5,catch_trial,1.5,1,3
2,39,valid,6,petal,upper_left,inner,-1,6,1.25,outer,0,upper_petal,1.5,1,3
2,40,valid,4,fugal,lower_left,outer,1,12,1,outer,0,lower_fugal,1.5,-1,2
2,41,valid,4,uniform_control,lower_right,inner,1,8,1,outer,0,lower_control,1.5,1,3
2,NA,invalid,5,fugal,lower_right,inner,1,8,1,inner,-1.5,lower_fugal,1.5,-1,2
2,42,valid,5,fugal,lower_right,outer,0,11,0.75,inner,-1.5,lower_fugal,1.5,-1,2
2,43,valid,5,uniform_control,lower_left,outer,0,11,1,outer,-1,lower_control,1,-1,4
2,44,valid,7,petal,upper_right,inner,0,7,0.75,inner,-1,upper_petal,1,-1,4
2,45,valid,5,uniform_control,upper_right,inner,0,7,0.75,outer,-1,upper_control,1,-1,4
2,46,valid,C,uniform_control,upper_right,inner,0,7,1,inner,-5,catch_trial,1,-1,4
2,47,valid,6,uniform_control,lower_left,inner,-1,6,0.75,inner,-2,lower_control,1,-1,4
