block,trial_number,valid_trial,staircase_trial,motion_direction,quadrant,eccentricity,jitter_dva,flash_dva,flash_seconds,response,probe_offset_dva,staircase_identity,step_size_dva,staircase_direction,staircase_reversals
1,1,valid,C,uniform_control,lower_right,outer,0,11,1,outer,-5,catch_trial,1.5,NaN,0
1,2,valid,0,petal,upper_left,outer,0,11,0.75,outer,0,upper_petal,1.5,NaN,0
1,NA,invalid,0,uniform_control,upper_left,inner,1,8,0.75,outer,0,upper_control,1.5,NaN,0
1,3,valid,0,fugal,upper_right,outer,1,12,1.25,outer,0,upper_fugal,1.5,NaN,0
1,4,valid,0,petal,lower_right,inner,1,8,0.75,outer,0,lower_petal,1.5,NaN,0
1,5,valid,1,petal,upper_right,outer,1,12,1.25,outer,-1.5,upper_petal,1.5,-1,0
1,6,valid,0,uniform_control,upper_left,outer,-1,10,1.25,outer,0,upper_control,1.5,NaN,0
1,7,valid,2,petal,upper_right,inner,1,8,1,inner,-3,upper_petal,1.5,-1,0
1,NA,invalid,0,fugal,lower_right,inner,1,8,1,outer,0,lower_fugal,1.5,NaN,0
1,8,valid,C,petal,lower_left,inner,0,7,1,outer,5,catch_trial,1.5,-1,0
1,9,valid,C,petal,upper_right,outer,0,11,1,inner,-5,catch_trial,1.5,1,1
1,10,valid,1,petal,lower_left,outer,1,12,1.25,outer,-1.5,lower_petal,1.5,-1,0
1,11,valid,C,fugal,upper_right,outer,0,11,1,outer,5,catch_trial,1.5,-1,0
1,NA,invalid,2,petal,lower_left,inner,1,8,0.75,inner,-3,lower_petal,1.5,-1,0
1,12,valid,1,fugal,upper_left,inner,1,8,0.75,inner,-1.5,upper_fugal,1.5,-1,0
1,NA,invalid,2,fugal,upper_right,inner,-1,6,1,inner,0,upper_fugal,1.5,1,1
1,13,valid,0,fugal,lower_left,inner,-1,6,1.25,inner,0,lower_fugal,1.5,NaN,0
1,14,valid,C,uniform_control,upper_left,inner,0,7,1,outer,5,catch_trial,1.5,-1,0
1,15,valid,1,uniform_control,upper_right,inner,1,8,1,outer,-1.5,upper_control,1.5,-1,0
1,16,valid,C,fugal,lower_left,inner,0,7,1,outer,5,catch_trial,1.5,1,0
1,NA,invalid,2,uniform_control,upper_right,outer,1,12,1.25,inner,-3,upper_control,1.5,-1,0
1,17,valid,2,petal,lower_right,outer,-1,10,1.25,inner,-3,lower_petal,1.5,-1,0
1,18,valid,3,petal,upper_left,inner,-1,6,1,inner,-1.5,upper_petal,1.5,1,1
1,19,valid,0,uniform_control,lower_left,inner,1,8,1,outer,0,lower_control,1.5,NaN,0
1,20,valid,1,uniform_control,lower_left,outer,-1,10,1,inner,-1.5,lower_control,1.5,-1,0
1,21,valid,2,uniform_control,lower_right,inner,1,8,1.25,outer,0,lower_control,1.5,1,1
1,22,valid,2,fugal,upper_left,outer,0,11,0.75,outer,0,upper_fugal,1.5,1,1
1,23,valid,1,fugal,lower_right,outer,1,12,1.25,outer,1.5,lower_fugal,1.5,1,0
1,24,valid,2,fugal,lower_left,outer,0,11,1,outer,0,lower_fugal,1.5,-1,1
1,25,valid,3,uniform_control,lower_right,outer,-1,10,1,inner,-1.5,lower_control,1.5,-1,2
1,26,valid,2,uniform_control,upper_left,inner,1,8,0.75,inner,-3,upper_control,1.5,-1,0
1,27,valid,3,fugal,lower_right,inner,1,8,1,inner,-1.5,lower_fugal,1.5,-1,1
1,28,valid,3,petal,lower_left,inner,1,8,0.75,inner,-1.5,lower_petal,1.5,1,1
1,29,valid,3,fugal,upper_right,inner,-1,6,1,inner,-1.5,upper_fugal,1.5,-1,2
1,30,valid,3,uniform_control,upper_right,outer,1,12,1.25,inner,-1.5,upper_control,1.5,1,1
2,31,valid,4,fugal,upper_left,inner,-1,6,1,outer,0,upper_fugal,1.5,1,3
2,32,valid,4,uniform_control,lower_left,inner,1,8,1.25,inner,0,lower_control,1.5,1,3
