block,trial_number,valid_trial,staircase_trial,motion_direction,quadrant,eccentricity,jitter_dva,flash_dva,flash_seconds,response,probe_offset_dva,staircase_identity,step_size_dva,staircase_direction,staircase_reversals
1,1,valid,0,petal,upper_left,outer,-1,10,0.75,outer,0,upper_petal,1.5,NaN,0
1,2,valid,0,fugal,lower_right,inner,-1,6,1,inner,0,lower_fugal,1.5,NaN,0
1,3,valid,C,uniform_control,lower_right,outer,0,11,1,inner,-5,catch_trial,1.5,NaN,0
1,4,valid,0,fugal,upper_right,outer,1,12,0.75,outer,0,upper_fugal,1.5,NaN,0
1,5,valid,C,petal,upper_right,outer,0,11,1,inner,-5,catch_trial,1.5,-1,0
1,6,valid,1,fugal,upper_left,inner,-1,6,0.75,inner,-1.5,upper_fugal,1.5,-1,0
1,7,valid,0,petal,lower_left,inner,1,8,0.75,outer,0,lower_petal,1.5,NaN,0
1,8,valid,2,fugal,upper_left,outer,-1,10,1,outer,0,upper_fugal,1.5,1,1
1,9,valid,1,petal,upper_right,outer,0,11,1,outer,-1.5,upper_petal,1.5,-1,0
1,10,valid,1,petal,lower_right,inner,1,8,1,inner,-1.5,lower_petal,1.5,-1,0
1,11,valid,2,petal,lower_left,outer,0,11,1.25,outer,0,lower_petal,1.5,1,1
1,12,valid,0,uniform_control,upper_left,outer,0,11,1,outer,0,upper_control,1.5,NaN,0
1,13,valid,0,uniform_control,lower_right,inner,-1,6,1,outer,0,lower_control,1.5,NaN,0
1,14,valid,1,fugal,lower_left,inner,-1,6,1.25,outer,1.5,lower_fugal,1.5,1,0
1,15,valid,2,petal,upper_right,inner,1,8,1,inner,-3,upper_petal,1.5,-1,0
1,16,valid,1,uniform_control,upper_left,inner,-1,6,0.75,inner,-1.5,upper_control,1.5,-1,0
1,17,valid,2,uniform_control,upper_right,inner,0,7,1.25,outer,0,upper_control,1.5,1,1
1,18,valid,3,petal,upper_left,inner,-1,6,0.75,inner,-1.5,upper_petal,1.5,1,1
1,19,valid,3,uniform_control,upper_right,outer,0,11,1,outer,-1.5,upper_control,1.5,-1,2
1,20,valid,3,fugal,upper_right,inner,0,7,1.25,inner,-1.5,upper_fugal,1.5,-1,2
1,21,valid,2,fugal,lower_right,outer,1,12,0.75,outer,0,lower_fugal,1.5,-1,1
1,22,valid,1,uniform_control,lower_right,outer,0,11,1.25,outer,-1.5,lower_control,1.5,-1,0
1,23,valid,2,uniform_control,lower_left,inner,-1,6,1,inner,-3,lower_control,1.5,-1,0
1,24,valid,3,uniform_control,lower_left,outer,0,11,1,outer,-1.5,lower_control,1.5,1,1
1,25,valid,C,fugal,lower_left,inner,0,7,1,outer,5,catch_trial,1.5,-1,1
1,26,valid,3,petal,lower_right,outer,1,12,0.75,outer,-1.5,lower_petal,1.5,-1,2
1,27,valid,C,fugal,upper_right,outer,0,11,1,inner,-5,catch_trial,1.5,1,3
1,28,valid,C,petal,lower_left,inner,0,7,1,outer,5,catch_trial,1.5,-1,2
1,29,valid,C,uniform_control,upper_left,inner,0,7,1,outer,5,catch_trial,1.5,-1,2
1,30,valid,3,fugal,lower_left,outer,1,12,1.25,inner,-1.5,lower_fugal,1.5,-1,1
2,NA,invalid,4,uniform_control,lower_right,inner,0,7,0.75,inner,-3,lower_control,1.5,-1,2
2,31,valid,C,fugal,lower_right,inner,0,7,1,outer,5,catch_trial,1.5,1,2
2,32,valid,4,petal,upper_left,outer,0,11,0.75,outer,0,upper_petal,1.5,1,1
2,33,valid,4,petal,lower_left,inner,1,8,1,inner,-3,lower_petal,1.5,-1,2
2,34,valid,5,petal,upper_left,inner,1,8,1,outer,-1.5,upper_petal,1.5,-1,2
2,35,valid,4,fugal,lower_left,outer,1,12,1,outer,0,lower_fugal,1.5,1,2
2,36,valid,5,fugal,lower_right,inner,1,8,1.25,inner,-1.5,lower_fugal,1.5,-1,3
2,37,valid,6,fugal,lower_right,outer,-1,10,1,inner,-0.5,lower_fugal,1,1,4
2,38,valid,4,uniform_control,upper_left,outer,-1,10,1.25,inner,-3,upper_control,1.5,-1,2
2,39,valid,4,fugal,upper_right,inner,0,7,1.25,inner,0,upper_fugal,1.5,1,3
2,40,valid,6,petal,upper_right,outer,-1,10,1,inner,-3,upper_petal,1.5,-1,2
2,41,valid,4,uniform_control,lower_left,inner,-1,6,1.25,inner,-3,lower_control,1.5,-1,2
2,42,valid,5,fugal,upper_left,inner,0,7,1,outer,1.5,upper_fugal,1.5,1,3
2,43,valid,C,uniform_control,upper_right,inner,0,7,1,outer,5,catch_trial,1.5,1,3
2,44,valid,6,fugal,upper_right,outer,1,12,1.25,outer,0.5,upper_fugal,1,-1,4
2,45,valid,7,fugal,upper_left,outer,1,12,1.25,outer,-0.5,upper_fugal,1,-1,4
2,46,valid,5,uniform_control,upper_right,inner,0,7,0.75,inner,-1.5,upper_control,1.5,1,3
2,47,valid,5,petal,lower_right,outer,-1,10,0.75,outer,-1.5,lower_petal,1.5,1,3
2,48,valid,7,petal,upper_right,inner,0,7,0.75,outer,-1.5,upper_petal,1.5,1,3
2,49,valid,5,uniform_control,lower_left,outer,0,11,0.75,outer,-1.5,lower_control,1.5,1,3
2,50,valid,C,fugal,upper_left,outer,0,11,1,inner,-5,catch_trial,1,-1,4
2,51,valid,C,uniform_control,lower_left,outer,0,11,1,inner,-5,catch_trial,1,-1,4
2,52,valid,6,uniform_control,upper_left,inner,1,8,1,outer,0,upper_control,1.5,1,3
2,53,valid,C,petal,lower_right,inner,0,7,1,outer,5,catch_trial,1,-1,4
2,54,valid,6,petal,lower_left,outer,-1,10,1.25,inner,-2.5,lower_petal,1,-1,4
2,55,valid,6,uniform_control,lower_right,outer,0,11,0.75,inner,-2.5,lower_control,1,-1,4
2,56,valid,7,petal,lower_right,inner,0,7,1,inner,-1.5,lower_petal,1,1,5
2,NA,invalid,7,uniform_control,upper_right,outer,-1,10,1,outer,-1,upper_control,1,-1,4
2,57,valid,7,fugal,lower_left,inner,-1,6,0.75,inner,0.5,lower_fugal,1,1,4
2,58,valid,C,petal,upper_left,outer,0,11,1,outer,5,catch_trial,1,-1,4
2,59,valid,7,uniform_control,lower_right,inner,0,7,0.75,inner,-1.5,lower_control,1,1,5
2,60,valid,7,uniform_control,upper_right,outer,-1,10,1,inner,-1,upper_control,1,-1,4
3,NA,invalid,8,petal,upper_right,outer,1,12,1.25,inner,-2.5,upper_petal,1,-1,4
3,61,valid,8,uniform_control,lower_left,inner,0,7,1.25,inner,-0.5,lower_control,1,1,5
3,62,valid,8,uniform_control,upper_right,inner,0,7,0.75,outer,0,upper_control,1,1,5
3,63,valid,8,petal,lower_left,inner,1,8,0.75,outer,-0.5,lower_petal,1,1,5
3,64,valid,C,uniform_control,upper_left,inner,0,7,1,outer,5,catch_trial,0.666666666666667,-1,6
3,65,valid,8,fugal,lower_right,inner,1,8,1.25,outer,1.5,lower_fugal,1,1,4
3,66,valid,C,uniform_control,lower_right,outer,0,11,1,outer,5,catch_trial,1,1,5
3,67,valid,C,fugal,lower_left,inner,0,7,1,inner,-5,catch_trial,1,-1,5
3,68,valid,8,fugal,upper_left,outer,1,12,1,outer,-1.5,upper_fugal,1,-1,4
3,69,valid,C,petal,upper_right,outer,0,11,1,outer,5,catch_trial,1,-1,4
3,70,valid,9,fugal,lower_left,inner,1,8,1,outer,0.5,lower_fugal,1,-1,5
3,71,valid,C,fugal,upper_right,outer,0,11,1,outer,-5,catch_trial,1,-1,4
3,NA,invalid,9,uniform_control,upper_left,inner,-1,6,1.25,inner,-0.666666666666667,upper_control,0.666666666666667,-1,6
3,72,valid,10,fugal,lower_left,outer,-1,10,1,inner,-0.5,lower_fugal,1,-1,5
3,73,valid,9,petal,lower_right,inner,-1,6,1.25,inner,-1.16666666666667,lower_petal,0.666666666666667,-1,6
3,74,valid,9,fugal,upper_right,inner,1,8,0.75,inner,-2.5,upper_fugal,1,-1,4
3,75,valid,8,petal,upper_left,inner,-1,6,0.75,inner,-2.5,upper_petal,1,-1,4
3,76,valid,9,petal,upper_left,outer,-1,10,0.75,outer,-1.5,upper_petal,1,1,5
3,77,valid,11,fugal,lower_right,outer,0,11,1.25,outer,0.166666666666667,lower_fugal,0.666666666666667,1,6
3,78,valid,10,fugal,upper_left,inner,0,7,1,inner,-1.5,upper_fugal,1,1,5
3,79,valid,11,fugal,upper_right,outer,-1,10,1.25,outer,-0.5,upper_fugal,1,1,5
3,80,valid,9,uniform_control,lower_left,outer,0,11,1,outer,0.5,lower_control,1,1,5
3,81,valid,C,petal,lower_left,inner,0,7,1,inner,-5,catch_trial,0.666666666666667,1,7
3,82,valid,10,petal,lower_right,outer,-1,10,1,outer,-0.5,lower_petal,0.666666666666667,1,7
3,83,valid,9,uniform_control,upper_left,outer,0,11,0.75,outer,-0.666666666666667,upper_control,0.666666666666667,-1,6
3,84,valid,10,uniform_control,upper_right,outer,1,12,0.75,inner,-1.33333333333333,upper_control,0.666666666666667,-1,6
3,NA,invalid,10,uniform_control,lower_right,inner,1,8,1.25,outer,-0.166666666666667,lower_control,0.666666666666667,-1,6
